,ridge,lasso,elastic net,lars,OMP
2012-06-01,-0.01262773032527062,-0.005162944936769061,-0.005159078075128857,0.0017030377583660086,-0.0039288846446673634
2012-07-01,-0.026673853208666352,-0.014615544977493556,-0.01571675842700111,-0.008152398159752524,-0.025362229896805123
2012-08-01,-0.004847803536843944,-0.00806696553812912,-0.008289997750775152,-0.002607158856248351,-0.012132121410377363
2012-09-01,-0.012730929456799397,-0.011466224970725232,-0.011181895623233575,-0.00611958661924442,-0.013587134118723126
2012-10-01,-0.009236676255969028,-0.013501568414566918,-0.013487454421780143,-0.013207333552723927,-0.01301836124790986
2012-11-01,-0.01845967645996023,-0.018966229876336862,-0.018932331716953476,-0.009197780667319288,-0.019671401586620972
2012-12-01,-0.019582042654305565,-0.019182547138799036,-0.0191627361307575,-0.013751219449534374,-0.016338827280189077
2013-01-01,-0.002389612786769706,-0.0017839216863087873,-0.0017749652568314444,-3.753839762114927e-05,0.004375186163019117
2013-02-01,0.004994490883922502,0.008173370182129446,0.008218568422860197,0.007150303531424806,0.007853808020761865
2013-03-01,-0.010983779471730352,-0.007191279874959438,-0.007355881848341565,-0.002764616315097937,-0.004461688838252864
2013-04-01,-0.0018979885272821413,0.002573020533260836,0.002584257033635225,0.001434473821987925,0.0053038386663076245
2013-05-01,-0.012735667115246393,-0.010214992103392672,-0.010360480994587928,-0.006602535146858486,-0.009203639919377482
2013-06-01,-0.00262632444000955,0.006579106121078063,0.006577368817885889,0.001702164722425457,-0.0003925172461691037
2013-07-01,-0.011747479320954995,-0.006766186210322221,-0.006642388015880246,-0.00684498485939352,-0.00577208202943641
2013-08-01,0.008815378867015786,0.010221146749805649,0.010053388663490795,0.00466596934796502,0.008630350202766627
2013-09-01,0.008237172405687863,0.00803478129477549,0.00791831335716125,0.003719928529548712,0.008485480673470524
2013-10-01,0.012194979563511569,0.011944563035009476,0.011940857100387298,0.009414564361910115,0.016903841857784357
2013-11-01,0.0045239342828492695,0.0061644361809856125,0.00610641046120028,0.005030092106371857,0.008625361457994493
2013-12-01,0.0022436350500542757,0.006933824103275722,0.006645657149186146,0.0025824393363394343,0.006363587929208251
2014-01-01,-0.0014031950567526083,0.000894761175576763,0.0009121469980128254,0.0027940027727750864,0.003888254431289466
2014-02-01,-0.0035368798702554334,-0.006328189765431971,-0.006409835528789512,0.0017652561802251152,0.0015336797395228876
2014-03-01,-0.0054752370695517385,-4.6678274535747606e-05,-0.0012195741303970165,-0.0017311402275000738,0.0029879967135863507
2014-04-01,0.016145763728284846,0.01559915448003547,0.015407951160250616,0.00813465822250346,0.017275309903997862
2014-05-01,0.00255234428393739,0.0014261771122446032,0.0015875070501795876,0.0019480827079164445,0.004606155899042313
2014-06-01,-0.006370543619323971,-0.007262161217237868,-0.007383752708882625,-0.003117699932266846,-0.003607579098851169
2014-07-01,0.012329421115545667,-0.0017390592580403558,-0.0023528575582889223,-3.236030578025687e-05,0.015725866295124666
2014-08-01,0.021453986717873977,0.017589077799016993,0.01750328170247714,0.009662662709273458,0.023565552361552743
2014-09-01,0.020833235817177827,0.020065636507157304,0.01988950162775612,0.009261002039949649,0.019179671952909105
2014-10-01,0.03222795293142846,0.031729443274916586,0.03167847031725363,0.015268116002305907,0.03250189726964013
2014-11-01,0.016995963283192386,0.01991203879887529,0.01995807404938688,0.008509562000000699,0.018797977256777086
2014-12-01,0.030446632575391326,0.030587221582596257,0.03101114445052574,0.012983005463320157,0.029333933451837536
2015-01-01,0.09757618435949375,0.08661476129342435,0.08666200651068072,0.04770906223405437,0.08497964459420156
2015-02-01,0.025198989393654142,0.030546680541098548,0.03470659235317592,0.018625762234781167,0.0231473196528669
2015-03-01,-0.010986618438330303,0.0018638825145843724,0.0018898659512274637,0.004237257842831032,0.00043165420636792005
2015-04-01,0.04164390657400128,0.045030198431980306,0.045028064647526275,0.026521876888302633,0.04015805422742796
2015-05-01,0.06789539757893255,0.06474435653540367,0.0646692375044626,0.0418427904248287,0.06487240411423441
2015-06-01,0.0474962899782843,0.04956419111099032,0.049668495689413644,0.03661509283765123,0.05403296910538653
2015-07-01,0.05342004134491326,0.06792999584121868,0.06794094192640987,0.039626294249336794,0.052375324701021575
2015-08-01,0.06071289583657417,0.06548828680703953,0.06549293244441363,0.060042989352398345,-0.031137854496632634
2015-09-01,0.02420535475842171,0.025983836886370994,0.025959417443233195,-0.004827286966460565,-0.03944133926408801
2015-10-01,0.013588823191696308,0.01133645332035492,0.011385142062031667,0.0077525945715315615,0.015506197981439318
2015-11-01,0.025932860848002753,0.030126135587091225,0.014761086263988352,0.016673153045531262,0.030309883972234303
2015-12-01,0.022603416338534656,0.021241851294683468,0.022946916365223426,0.010148413414995124,0.020907059856823007
2016-01-01,0.010349601905552711,0.019407883360372098,0.01877574487491825,0.01768245413323353,0.01954306145887037
2016-02-01,0.0012978145785092474,0.0068837053405606695,0.006817182633042582,0.004360699004619409,-0.04111133472749666
2016-03-01,0.003112363209385672,0.0058271267069494115,0.006476755721943443,0.006520740554249407,-0.0010736721048596736
2016-04-01,0.012232652928205976,0.012056963906391938,0.012049509433744282,0.011910667582557738,0.03133383422977883
2016-05-01,0.0029869711623078375,0.006542182360789554,0.006759172693649911,0.01017155858964413,0.009257544748247758
2016-06-01,-0.0028967291700368867,0.005656412868335563,0.005740556485366194,0.009059549976641719,-0.006692552106600169
2016-07-01,0.005967477339572783,0.010097552614347556,0.010073818267783297,0.010762508401429408,0.005797673696183949
2016-08-01,0.00016931539649599653,0.008754862720210243,0.008739037605597594,0.009321704424803635,0.008220046635854775
2016-09-01,0.0012666503676462507,0.010946409830231393,0.01093916746718958,0.010273261564006157,0.00914270457607173
