IPO_date,IPO_number
2008/5/6,13500000.00 
2008/5/6,27500000.00 
2008/5/8,25000000.00 
2008/5/8,20000000.00 
2008/5/12,26800000.00 
2008/5/12,27000000.00 
2008/5/9,32000000.00 
2008/5/16,100000000.00 
2008/5/16,27000000.00 
2008/5/16,25000000.00 
2008/5/20,16800000.00 
2008/5/20,24000000.00 
2008/5/26,67000000.00 
2008/5/22,34000000.00 
2008/5/23,76690000.00 
2008/5/22,30000000.00 
2008/5/28,67000000.00 
2008/5/28,40500000.00 
2008/5/29,60000000.00 
2008/6/5,15200000.00 
2008/6/5,49500000.00 
2008/6/12,16800000.00 
2008/6/12,30000000.00 
2008/6/19,32000000.00 
2008/6/19,32300000.00 
2008/6/19,35000000.00 
2008/6/23,40000000.00 
2008/6/23,13000000.00 
2008/6/25,32000000.00 
2008/6/25,27700000.00 
2008/6/25,22000000.00 
2008/7/8,34000000.00 
2008/7/16,55000000.00 
2008/7/16,30000000.00 
2008/7/23,20000000.00 
2008/7/23,30000000.00 
2008/7/28,64000000.00 
2008/7/31,26800000.00 
2008/8/6,73000000.00 
2008/8/6,35800000.00 
2008/8/13,100000000.00 
2008/8/11,17000000.00 
2008/8/28,70000000.00 
2008/9/5,36500000.00 
2008/9/10,13200000.00 
2008/9/19,23000000.00 
2008/9/19,16700000.00 
2008/9/25,51000000.00 
2009/7/10,46000000.00 
2009/7/10,50000000.00 
2009/7/17,50000000.00 
2009/8/11,46000000.00 
2009/8/11,15300000.00 
2009/8/21,13500000.00 
2009/8/21,40000000.00 
2009/8/21,43400000.00 
2009/8/21,60000000.00 
2009/8/28,24000000.00 
2009/8/28,32000000.00 
2009/8/28,20000000.00 
2009/8/28,41000000.00 
2009/9/3,22000000.00 
2009/9/3,18500000.00 
2009/9/3,21000000.00 
2009/9/3,55000000.00 
2009/9/10,40000000.00 
2009/9/10,35100000.00 
2009/9/10,28500000.00 
2009/9/29,36000000.00 
2009/9/29,15500000.00 
2009/9/29,27000000.00 
2009/9/29,28000000.00 
2009/10/21,41000000.00 
2009/10/21,34000000.00 
2009/10/21,31200000.00 
2009/11/3,35000000.00 
2009/11/3,45000000.00 
2009/11/6,45000000.00 
2009/11/6,48000000.00 
2009/11/11,50000000.00 
2009/11/11,47500000.00 
2009/11/27,53450000.00 
2009/11/27,33500000.00 
2009/11/27,14500000.00 
2009/11/27,56000000.00 
2009/12/3,15000000.00 
2009/12/3,25000000.00 
2009/12/3,73641000.00 
2009/12/9,29380000.00 
2009/12/9,30000000.00 
2009/12/11,20000000.00 
2009/12/11,40000000.00 
2009/12/11,25000000.00 
2009/12/16,39500000.00 
2009/12/16,37000000.00 
2009/12/18,16700000.00 
2009/12/18,21000000.00 
2009/12/18,35000000.00 
2009/12/22,30000000.00 
2009/12/22,33500000.00 
2009/12/30,26000000.00 
2009/12/30,75000000.00 
2010/1/6,27000000.00 
2010/1/6,63000000.00 
2010/1/6,14000000.00 
2010/1/12,85400000.00 
2010/1/12,39200000.00 
2010/1/13,16000000.00 
2010/1/13,19500000.00 
2010/1/13,100000000.00 
2010/1/15,30000000.00 
2010/1/15,20000000.00 
2010/1/22,22000000.00 
2010/1/22,23330000.00 
2010/1/22,19000000.00 
2010/1/26,50000000.00 
2010/1/26,25000000.00 
2010/1/26,70000000.00 
2010/1/28,30000000.00 
2010/1/28,35000000.00 
2010/1/28,26000000.00 
2010/2/3,38000000.00 
2010/2/3,20000000.00 
2010/2/3,27000000.00 
2010/2/5,37000000.00 
2010/2/5,19500000.00 
2010/2/5,29000000.00 
2010/2/9,23500000.00 
2010/2/9,52600000.00 
2010/2/9,20000000.00 
2010/2/10,21000000.00 
2010/2/10,22000000.00 
2010/2/10,27500000.00 
2010/3/3,15000000.00 
2010/3/3,20000000.00 
2010/3/3,27000000.00 
2010/3/5,30000000.00 
2010/3/5,16800000.00 
2010/3/5,23500000.00 
2010/3/12,33500000.00 
2010/3/12,33500000.00 
2010/3/12,25000000.00 
2010/3/16,25000000.00 
2010/3/16,30000000.00 
2010/3/16,16560000.00 
2010/3/18,63400000.00 
2010/3/18,17500000.00 
2010/3/18,13500000.00 
2010/3/23,53000000.00 
2010/3/23,38000000.00 
2010/3/23,27000000.00 
2010/3/31,43000000.00 
2010/3/31,19500000.00 
2010/3/31,17000000.00 
2010/4/2,20000000.00 
2010/4/2,20000000.00 
2010/4/2,30000000.00 
2010/4/9,40000000.00 
2010/4/9,60800000.00 
2010/4/9,100000000.00 
2010/4/13,33500000.00 
2010/4/13,28000000.00 
2010/4/13,17000000.00 
2010/4/16,21700000.00 
2010/4/16,25000000.00 
2010/4/23,33750000.00 
2010/4/23,46000000.00 
2010/4/23,27000000.00 
2010/4/29,22500000.00 
2010/6/23,44000000.00 
2010/4/29,16000000.00 
2010/5/6,30000000.00 
2010/5/6,40100000.00 
2010/5/6,20600000.00 
2010/5/6,13300000.00 
2010/5/11,16700000.00 
2010/5/11,60000000.00 
2010/5/11,33500000.00 
2010/5/18,56000000.00 
2010/5/18,47000000.00 
2010/5/18,27000000.00 
2010/5/18,65000000.00 
2010/5/25,28000000.00 
2010/5/25,25000000.00 
2010/5/25,21800000.00 
2010/5/25,19000000.00 
2010/5/28,37000000.00 
2010/7/16,75000000.00 
2010/5/28,50000000.00 
2010/5/28,50000000.00 
2010/6/1,30000000.00 
2010/6/1,36000000.00 
2010/6/1,50100000.00 
2010/6/1,63000000.00 
2010/6/3,20000000.00 
2010/6/3,60000000.00 
2010/6/3,79000000.00 
2010/6/3,37000000.00 
2010/6/8,27000000.00 
2010/6/8,40100000.00 
